schema_version,record_type,controller,metric,estimate,wilson_low,wilson_high,p05,p50,p95,units,notes
1.0,controller_comparison,c1_phase_gated,max_angle_deg,10.172872,0.000000,0.000000,4.880367,9.263693,18.245678,deg,"peak chord angle-from-vertical over the run; CLEAN (status==Ok, n_clean) runs only -- truncated runs excluded, no silent corruption"
1.0,controller_comparison,c1_phase_gated,o45_never_crossed_rate,1.000000,0.981155,1.000000,0.000000,0.000000,0.000000,fraction,"fraction of CLEAN runs (denominator n_clean, NOT n_runs) that never reached 45 deg within sim_orbits; Wilson 95% CI"
1.0,controller_comparison,c1_phase_gated,eta_lib_effective,0.760193,0.000000,0.000000,0.520885,0.771011,0.982718,fraction,"time-average |I_applied|/I_cap actually delivered; CLEAN runs only; C2 gives duty_on=0.75 by construction, C1's is COMPUTED (the stability-per-unit-thrust headline)"
1.0,controller_comparison,c1_phase_gated,energy_drift_per_orbit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,fraction,"last full-orbit |E_J drift - integrated (P_lorentz+P_damp)| / (mu*L^2*n^2); CLEAN runs only; sanity diagnostic, not a stability claim"
1.0,controller_comparison,c2_fixed_duty,diverged_angle_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::DivergedAngle (chord angle-from-vertical > 80 deg); Wilson 95% CI"
1.0,controller_comparison,c2_fixed_duty,diverged_velocity_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::DivergedVelocity (any |v_i| > 10*n*L); Wilson 95% CI"
1.0,controller_comparison,c2_fixed_duty,overstrain_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::Overstrain (any segment l_j/L0 > 1.5); Wilson 95% CI"
1.0,controller_comparison,c2_fixed_duty,energy_spike_rate,0.120000,0.081980,0.172343,0.000000,0.000000,0.000000,fraction,"fraction hitting DivergeStatus::EnergySpike (recalibrated guard, tether.cpp -- genuine integrator blow-ups only); Wilson 95% CI"
1.0,controller_comparison,c2_fixed_duty,nonconverged_rate,0.120000,0.081980,0.172343,0.000000,0.000000,0.000000,fraction,"combined fraction hitting ANY non-Ok status (sum of the four rows above); every non-Ok run is EXCLUDED from the amplitude/o45/eta/energy pools below, never silently mixed in -- see n_clean; Wilson 95% CI"
1.0,controller_comparison,c2_fixed_duty,n_clean,176.000000,0.000000,0.000000,0.000000,0.000000,0.000000,count,"runs completing the full sim_orbits horizon at status==Ok; the max_angle/o45/eta_lib/energy_drift rows below are computed over ONLY these n_clean runs (n_clean = n_runs - n_nonconverged)"
1.0,controller_comparison,c2_fixed_duty,max_angle_deg,13.618305,0.000000,0.000000,6.453706,12.668035,22.818385,deg,"peak chord angle-from-vertical over the run; CLEAN (status==Ok, n_clean) runs only -- truncated runs excluded, no silent corruption"
1.0,controller_comparison,c2_fixed_duty,o45_never_crossed_rate,1.000000,0.978640,1.000000,0.000000,0.000000,0.000000,fraction,"fraction of CLEAN runs (denominator n_clean, NOT n_runs) that never reached 45 deg within sim_orbits; Wilson 95% CI"
1.0,controller_comparison,c2_fixed_duty,eta_lib_effective,0.557428,0.000000,0.000000,0.388971,0.553391,0.726231,fraction,"time-average |I_applied|/I_cap actually delivered; CLEAN runs only; C2 gives duty_on=0.75 by construction, C1's is COMPUTED (the stability-per-unit-thrust headline)"
1.0,controller_comparison,c2_fixed_duty,energy_drift_per_orbit,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,fraction,"last full-orbit |E_J drift - integrated (P_lorentz+P_damp)| / (mu*L^2*n^2); CLEAN runs only; sanity diagnostic, not a stability claim"
1.0,twin_sync,c1_phase_gated,converged_rate,0.000000,0.000000,0.018845,0.000000,0.000000,0.000000,fraction,"fraction TWIN-CONVERGED (param rel err < 10% and NIS in [0.05,7.38] for >=5 consecutive orbits); Wilson 95% CI"
1.0,twin_sync,c1_phase_gated,i_eff_rel_err,0.170946,0.000000,0.000000,0.016056,0.171134,0.344623,fraction,"final |I_eff_hat - I_eff_true| / I_eff_true"
1.0,twin_sync,c1_phase_gated,c_hat_rel_err,1.006815,0.000000,0.000000,0.082299,0.503818,3.148403,fraction,"final |c_hat - c_true| / c_true; c_hat is WEAKLY OBSERVABLE [DT-v1] (effective pitch damping, NOT the axial c_true) so this is reported for the record, NOT expected small -- I_eff is the robustly-identified parameter; see twin.hpp TwinSyncReport finding note + _tasks_local/wp16_xcheck.py"
1.0,twin_sync,c1_phase_gated,theta_rmse_deg,0.067650,0.000000,0.000000,0.052740,0.066494,0.083496,deg,"RMSE of (EKF theta estimate - truth chord angle) over the whole run"
1.0,twin_sync,c1_phase_gated,median_nis,2.758573,0.000000,0.000000,2.746042,2.758193,2.770790,-,"per-run median 2-dof NIS; 95% chi-square(2) band is [0.05, 7.38]"
1.0,twin_sync,c1_phase_gated,orbits_to_converge,-1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,orbit,"no run converged within sim_orbits; -1 sentinel"
